segment_id,lat,lon,mean_score,max_score,street,cluster
z15_x23383_y12015,43.201172,76.898804,1.6044347826086955,2.44,проспект Ермека Серкебаева,1
z15_x23383_y12016,43.193163,76.898804,1.546578947368421,1.99,улица Аскара Кунаева,1
z15_x23383_y12017,43.185153,76.898804,1.7951376146788989,3.47,улица Батырхана Шукенова,0
z15_x23383_y12018,43.177141,76.898804,1.6400934579439252,2.29,улица Мойынкум,1
z15_x23383_y12019,43.169129,76.898804,1.7485470085470087,2.82,Бостандыкский район,1
z15_x23384_y11993,43.377105,76.90979,1.5013888888888889,1.57,Центральная улица,1
z15_x23384_y11994,43.369119,76.90979,1.5075,1.75,Первомайская промзона,1
z15_x23384_y11998,43.337165,76.90979,2.8158974358974356,3.5,Северное кольцо,0
z15_x23384_y11999,43.329174,76.90979,1.9047008547008546,3.32,Северное кольцо,0
z15_x23384_y12000,43.321181,76.90979,1.5,1.5,Северное кольцо,1
z15_x23384_y12001,43.313188,76.90979,1.6769230769230767,1.88,улица Тимирязева,1
z15_x23384_y12009,43.249204,76.90979,1.5756410256410256,1.81,проспект Абая,1
z15_x23384_y12013,43.217187,76.90979,1.8974358974358974,2.42,проспект Аль-Фараби,1
z15_x23384_y12014,43.20918,76.90979,1.747094017094017,2.75,улица Ходжанова,1
z15_x23384_y12015,43.201172,76.90979,1.7211965811965813,2.52,проспект Аль-Фараби,1
z15_x23384_y12016,43.193163,76.90979,1.5534188034188035,1.94,улица Рахмадиева,1
z15_x23384_y12017,43.185153,76.90979,1.5765811965811967,2.11,улица Мурат,1
z15_x23384_y12018,43.177141,76.90979,1.5528205128205128,2.53,Бостандыкский район,1
z15_x23384_y12019,43.169129,76.90979,1.5188034188034187,2.68,улица Какимбека Салыкова,1
z15_x23385_y11993,43.377105,76.920776,1.50875,1.76,Илийский район,1
z15_x23385_y11994,43.369119,76.920776,1.5,1.5,Северное кольцо,1
z15_x23385_y11997,43.345155,76.920776,1.6213636363636363,2.44,проспект Суюнбая,1
z15_x23385_y11998,43.337165,76.920776,2.1978632478632476,3.5,Северное кольцо,0
z15_x23385_y12007,43.265206,76.920776,1.5112820512820513,1.7,улица Толе Би,1
z15_x23385_y12008,43.257206,76.920776,1.5313675213675213,1.82,улица Толе Би,1
z15_x23385_y12009,43.249204,76.920776,1.5238461538461539,1.8,проспект Абая,1
z15_x23385_y12013,43.217187,76.920776,1.5314529914529915,1.77,проспект Аль-Фараби,1
z15_x23385_y12015,43.201172,76.920776,1.5495726495726496,2.34,Бостандыкский район,1
z15_x23385_y12016,43.193163,76.920776,1.6670940170940172,3.87,улица Жангир Хана,0
z15_x23385_y12017,43.185153,76.920776,1.50375,1.8,Бостандыкский район,1
z15_x23385_y12019,43.169129,76.920776,1.5675213675213675,1.99,улица Советская,1
z15_x23386_y11998,43.337165,76.931763,1.5046969696969696,1.81,Северное кольцо,1
z15_x23386_y12001,43.313188,76.931763,1.9684615384615385,2.45,улица Тимирязева,0
z15_x23386_y12004,43.289202,76.931763,1.5813684210526315,3.5,улица Макатаева,0
z15_x23386_y12007,43.265206,76.931763,1.5,1.5,улица Толе Би,1
z15_x23386_y12008,43.257206,76.931763,1.505824175824176,2.03,улица Толе Би,1
z15_x23386_y12009,43.249204,76.931763,1.61008547008547,2.06,проспект Абая,1
z15_x23386_y12015,43.201172,76.931763,1.5554700854700856,3.02,Аскартау микрорайон,1
z15_x23386_y12018,43.177141,76.931763,1.506923076923077,1.71,улица Талды,1
z15_x23387_y12001,43.313188,76.942749,1.7858974358974358,3.5,улица Тимирязева,0
z15_x23387_y12008,43.257206,76.942749,1.543076923076923,2.22,улица Толе Би,1
z15_x23387_y12009,43.249204,76.942749,1.5451282051282051,2.05,проспект Абая,1
z15_x23387_y12011,43.233197,76.942749,1.5,1.5,проспект Аль-Фараби,1
z15_x23387_y12012,43.225193,76.942749,1.5188034188034187,2.15,проспект Аль-Фараби,1
z15_x23387_y12013,43.217187,76.942749,1.5857264957264958,1.92,проспект Аль-Фараби,1
z15_x23387_y12018,43.177141,76.942749,1.5317948717948717,1.65,Бостандыкский район,1
z15_x23387_y12019,43.169129,76.942749,1.5143589743589745,1.75,улица Талды,1
z15_x23388_y12001,43.313188,76.953735,1.6153846153846154,2.41,улица Тимирязева,1
z15_x23388_y12002,43.305194,76.953735,1.8253846153846154,2.79,улица Сатпаева,0
z15_x23388_y12006,43.273206,76.953735,1.5685217391304347,2.65,улица Гоголя,1
z15_x23388_y12007,43.265206,76.953735,1.5443478260869565,2.47,улица Толе Би,1
z15_x23388_y12008,43.257206,76.953735,1.5377777777777777,2.72,улица Толе Би,1
z15_x23388_y12011,43.233197,76.953735,1.5353846153846156,1.78,проспект Аль-Фараби,1
z15_x23388_y12012,43.225193,76.953735,1.6771794871794872,2.25,проспект Аль-Фараби,1
z15_x23388_y12017,43.185153,76.953735,1.5852991452991454,1.74,улица Солнечная,1
z15_x23388_y12018,43.177141,76.953735,1.5057264957264955,1.69,Бостандыкский район,1
z15_x23389_y12001,43.313188,76.964722,1.5042735042735043,1.76,улица Тимирязева,1
z15_x23389_y12002,43.305194,76.964722,1.5403418803418802,2.69,улица Сатпаева,1
z15_x23389_y12005,43.281204,76.964722,1.6123931623931624,2.04,проспект Райымбека,1
z15_x23389_y12006,43.273206,76.964722,1.5509401709401711,2.29,улица Гоголя,1
z15_x23389_y12007,43.265206,76.964722,1.5077391304347825,1.83,улица Толе Би,1
z15_x23389_y12009,43.249204,76.964722,1.5376068376068377,2.23,проспект Абая,1
z15_x23389_y12010,43.241201,76.964722,1.5276068376068375,2.37,проспект Абая,1
z15_x23389_y12011,43.233197,76.964722,1.5014529914529913,1.67,проспект Аль-Фараби,1
z15_x23389_y12015,43.201172,76.964722,1.5519658119658122,2.04,Медеуский район,1
z15_x23389_y12016,43.193163,76.964722,1.6427350427350427,2.04,улица Банковая,1
z15_x23389_y12017,43.185153,76.964722,2.0475213675213677,3.3,Кайнар СТ,0
z15_x23389_y12018,43.177141,76.964722,1.5158695652173915,1.99,улица Обсерватория,1
z15_x23390_y12002,43.305194,76.975708,1.527094017094017,2.16,улица Сатпаева,1
z15_x23390_y12004,43.289202,76.975708,1.517982456140351,2.56,улица Фурманова,1
z15_x23390_y12005,43.281204,76.975708,1.6068421052631578,2.52,проспект Райымбека,1
z15_x23390_y12011,43.233197,76.975708,1.5053846153846153,2.13,проспект Аль-Фараби,1
z15_x23390_y12013,43.217187,76.975708,1.56,2.16,проспект Аль-Фараби,1
z15_x23390_y12016,43.193163,76.975708,1.50008547008547,1.51,улица Ладушкина,1
z15_x23390_y12019,43.169129,76.975708,1.5035042735042734,1.63,улица Ажибай батыра,1
z15_x23391_y12002,43.305194,76.986694,1.5111111111111113,1.89,улица Жаяу Муса,1
z15_x23391_y12006,43.273206,76.986694,1.5693162393162394,1.89,улица Уразбаевой,1
z15_x23391_y12007,43.265206,76.986694,3.2415384615384615,4.72,улица Пензенская,0
z15_x23391_y12008,43.257206,76.986694,2.242905982905983,3.06,Медеуский район,0
z15_x23391_y12009,43.249204,76.986694,1.56991452991453,1.97,проспект Абая,1
z15_x23391_y12010,43.241201,76.986694,1.5642735042735043,2.35,проспект Абая,1
z15_x23391_y12011,43.233197,76.986694,1.5976923076923077,1.78,проспект Аль-Фараби,1
z15_x23391_y12012,43.225193,76.986694,1.5593162393162392,2.12,проспект Аль-Фараби,1
